conj,infinitive,mode,pess,time
sofrendo,sofrer,gerundio,,
sofrido,sofrer,participio,,
sofro,sofrer,indicativo,eu,presente
sofri,sofrer,indicativo,eu,pretérito perfeito
sofria,sofrer,indicativo,eu,pretérito imperfeito
sofres,sofrer,indicativo,tu,presente
sofreste,sofrer,indicativo,tu,pretérito perfeito
sofrias,sofrer,indicativo,tu,pretérito imperfeito
sofre,sofrer,indicativo,ele/ela,presente
sofreu,sofrer,indicativo,ele/ela,pretérito perfeito
sofria,sofrer,indicativo,ele/ela,pretérito imperfeito
sofremos,sofrer,indicativo,nós,presente
sofremos,sofrer,indicativo,nós,pretérito perfeito
sofríamos,sofrer,indicativo,nós,pretérito imperfeito
sofreis,sofrer,indicativo,vós,presente
sofrestes,sofrer,indicativo,vós,pretérito perfeito
sofríeis,sofrer,indicativo,vós,pretérito imperfeito
sofrem,sofrer,indicativo,eles/elas,presente
sofreram,sofrer,indicativo,eles/elas,pretérito perfeito
sofriam,sofrer,indicativo,eles/elas,pretérito imperfeito
sofrera,sofrer,indicativo,eu,pret. mais-que-perfeito
sofrerei,sofrer,indicativo,eu,futuro
sofreria,sofrer,indicativo,eu,condicional
sofreras,sofrer,indicativo,tu,pret. mais-que-perfeito
sofrerás,sofrer,indicativo,tu,futuro
sofrerias,sofrer,indicativo,tu,condicional
sofrera,sofrer,indicativo,ele/ela,pret. mais-que-perfeito
sofrerá,sofrer,indicativo,ele/ela,futuro
sofreria,sofrer,indicativo,ele/ela,condicional
sofrêramos,sofrer,indicativo,nós,pret. mais-que-perfeito
sofreremos,sofrer,indicativo,nós,futuro
sofreríamos,sofrer,indicativo,nós,condicional
sofrêreis,sofrer,indicativo,vós,pret. mais-que-perfeito
sofrereis,sofrer,indicativo,vós,futuro
sofreríeis,sofrer,indicativo,vós,condicional
sofreram,sofrer,indicativo,eles/elas,pret. mais-que-perfeito
sofrerão,sofrer,indicativo,eles/elas,futuro
sofreriam,sofrer,indicativo,eles/elas,condicional
sofra,sofrer,conjuntivo subjuntivo (br),eu,presente
sofresse,sofrer,conjuntivo subjuntivo (br),eu,pretérito imperfeito
sofrer,sofrer,conjuntivo subjuntivo (br),eu,futuro
sofras,sofrer,conjuntivo subjuntivo (br),tu,presente
sofresses,sofrer,conjuntivo subjuntivo (br),tu,pretérito imperfeito
sofreres,sofrer,conjuntivo subjuntivo (br),tu,futuro
sofra,sofrer,conjuntivo subjuntivo (br),ele/ela,presente
sofresse,sofrer,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
sofrer,sofrer,conjuntivo subjuntivo (br),ele/ela,futuro
soframos,sofrer,conjuntivo subjuntivo (br),nós,presente
sofrêssemos,sofrer,conjuntivo subjuntivo (br),nós,pretérito imperfeito
sofrermos,sofrer,conjuntivo subjuntivo (br),nós,futuro
sofrais,sofrer,conjuntivo subjuntivo (br),vós,presente
sofrêsseis,sofrer,conjuntivo subjuntivo (br),vós,pretérito imperfeito
sofrerdes,sofrer,conjuntivo subjuntivo (br),vós,futuro
sofram,sofrer,conjuntivo subjuntivo (br),eles/elas,presente
sofressem,sofrer,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
sofrerem,sofrer,conjuntivo subjuntivo (br),eles/elas,futuro
sofrer,sofrer,imperativo,eu,infinitivo pessoal
sofreres,sofrer,imperativo,tu,infinitivo pessoal
sofre,sofrer,imperativo,tu,afirmativo
sofras,sofrer,imperativo,tu,negativo
sofrer,sofrer,imperativo,ele/ela,infinitivo pessoal
sofra,sofrer,imperativo,ele/ela,afirmativo
sofra,sofrer,imperativo,ele/ela,negativo
sofrermos,sofrer,imperativo,nós,infinitivo pessoal
soframos,sofrer,imperativo,nós,afirmativo
soframos,sofrer,imperativo,nós,negativo
sofrerdes,sofrer,imperativo,vós,infinitivo pessoal
sofrei,sofrer,imperativo,vós,afirmativo
sofrais,sofrer,imperativo,vós,negativo
sofrerem,sofrer,imperativo,eles/elas,infinitivo pessoal
sofram,sofrer,imperativo,eles/elas,afirmativo
sofram,sofrer,imperativo,eles/elas,negativo
parando,parar,gerundio,,
parado,parar,participio,,
paro,parar,indicativo,eu,presente
parei,parar,indicativo,eu,pretérito perfeito
parava,parar,indicativo,eu,pretérito imperfeito
paras,parar,indicativo,tu,presente
paraste,parar,indicativo,tu,pretérito perfeito
paravas,parar,indicativo,tu,pretérito imperfeito
para,parar,indicativo,ele/ela,presente
parou,parar,indicativo,ele/ela,pretérito perfeito
parava,parar,indicativo,ele/ela,pretérito imperfeito
paramos,parar,indicativo,nós,presente
parámos / paramos,parar,indicativo,nós,pretérito perfeito
parávamos,parar,indicativo,nós,pretérito imperfeito
parais,parar,indicativo,vós,presente
parastes,parar,indicativo,vós,pretérito perfeito
paráveis,parar,indicativo,vós,pretérito imperfeito
param,parar,indicativo,eles/elas,presente
pararam,parar,indicativo,eles/elas,pretérito perfeito
paravam,parar,indicativo,eles/elas,pretérito imperfeito
parara,parar,indicativo,eu,pret. mais-que-perfeito
pararei,parar,indicativo,eu,futuro
pararia,parar,indicativo,eu,condicional
pararas,parar,indicativo,tu,pret. mais-que-perfeito
pararás,parar,indicativo,tu,futuro
pararias,parar,indicativo,tu,condicional
parara,parar,indicativo,ele/ela,pret. mais-que-perfeito
parará,parar,indicativo,ele/ela,futuro
pararia,parar,indicativo,ele/ela,condicional
paráramos,parar,indicativo,nós,pret. mais-que-perfeito
pararemos,parar,indicativo,nós,futuro
pararíamos,parar,indicativo,nós,condicional
paráreis,parar,indicativo,vós,pret. mais-que-perfeito
parareis,parar,indicativo,vós,futuro
pararíeis,parar,indicativo,vós,condicional
pararam,parar,indicativo,eles/elas,pret. mais-que-perfeito
pararão,parar,indicativo,eles/elas,futuro
parariam,parar,indicativo,eles/elas,condicional
pare,parar,conjuntivo subjuntivo (br),eu,presente
parasse,parar,conjuntivo subjuntivo (br),eu,pretérito imperfeito
parar,parar,conjuntivo subjuntivo (br),eu,futuro
pares,parar,conjuntivo subjuntivo (br),tu,presente
parasses,parar,conjuntivo subjuntivo (br),tu,pretérito imperfeito
parares,parar,conjuntivo subjuntivo (br),tu,futuro
pare,parar,conjuntivo subjuntivo (br),ele/ela,presente
parasse,parar,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
parar,parar,conjuntivo subjuntivo (br),ele/ela,futuro
paremos,parar,conjuntivo subjuntivo (br),nós,presente
parássemos,parar,conjuntivo subjuntivo (br),nós,pretérito imperfeito
pararmos,parar,conjuntivo subjuntivo (br),nós,futuro
pareis,parar,conjuntivo subjuntivo (br),vós,presente
parásseis,parar,conjuntivo subjuntivo (br),vós,pretérito imperfeito
parardes,parar,conjuntivo subjuntivo (br),vós,futuro
parem,parar,conjuntivo subjuntivo (br),eles/elas,presente
parassem,parar,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
pararem,parar,conjuntivo subjuntivo (br),eles/elas,futuro
parar,parar,imperativo,eu,infinitivo pessoal
parares,parar,imperativo,tu,infinitivo pessoal
para,parar,imperativo,tu,afirmativo
pares,parar,imperativo,tu,negativo
parar,parar,imperativo,ele/ela,infinitivo pessoal
pare,parar,imperativo,ele/ela,afirmativo
pare,parar,imperativo,ele/ela,negativo
pararmos,parar,imperativo,nós,infinitivo pessoal
paremos,parar,imperativo,nós,afirmativo
paremos,parar,imperativo,nós,negativo
parardes,parar,imperativo,vós,infinitivo pessoal
parai,parar,imperativo,vós,afirmativo
pareis,parar,imperativo,vós,negativo
pararem,parar,imperativo,eles/elas,infinitivo pessoal
parem,parar,imperativo,eles/elas,afirmativo
parem,parar,imperativo,eles/elas,negativo
batendo,bater,gerundio,,
batido,bater,participio,,
bato,bater,indicativo,eu,presente
bati,bater,indicativo,eu,pretérito perfeito
batia,bater,indicativo,eu,pretérito imperfeito
bates,bater,indicativo,tu,presente
bateste,bater,indicativo,tu,pretérito perfeito
batias,bater,indicativo,tu,pretérito imperfeito
bate,bater,indicativo,ele/ela,presente
bateu,bater,indicativo,ele/ela,pretérito perfeito
batia,bater,indicativo,ele/ela,pretérito imperfeito
batemos,bater,indicativo,nós,presente
batemos,bater,indicativo,nós,pretérito perfeito
batíamos,bater,indicativo,nós,pretérito imperfeito
bateis,bater,indicativo,vós,presente
batestes,bater,indicativo,vós,pretérito perfeito
batíeis,bater,indicativo,vós,pretérito imperfeito
batem,bater,indicativo,eles/elas,presente
bateram,bater,indicativo,eles/elas,pretérito perfeito
batiam,bater,indicativo,eles/elas,pretérito imperfeito
batera,bater,indicativo,eu,pret. mais-que-perfeito
baterei,bater,indicativo,eu,futuro
bateria,bater,indicativo,eu,condicional
bateras,bater,indicativo,tu,pret. mais-que-perfeito
baterás,bater,indicativo,tu,futuro
baterias,bater,indicativo,tu,condicional
batera,bater,indicativo,ele/ela,pret. mais-que-perfeito
baterá,bater,indicativo,ele/ela,futuro
bateria,bater,indicativo,ele/ela,condicional
batêramos,bater,indicativo,nós,pret. mais-que-perfeito
bateremos,bater,indicativo,nós,futuro
bateríamos,bater,indicativo,nós,condicional
batêreis,bater,indicativo,vós,pret. mais-que-perfeito
batereis,bater,indicativo,vós,futuro
bateríeis,bater,indicativo,vós,condicional
bateram,bater,indicativo,eles/elas,pret. mais-que-perfeito
baterão,bater,indicativo,eles/elas,futuro
bateriam,bater,indicativo,eles/elas,condicional
bata,bater,conjuntivo subjuntivo (br),eu,presente
batesse,bater,conjuntivo subjuntivo (br),eu,pretérito imperfeito
bater,bater,conjuntivo subjuntivo (br),eu,futuro
batas,bater,conjuntivo subjuntivo (br),tu,presente
batesses,bater,conjuntivo subjuntivo (br),tu,pretérito imperfeito
bateres,bater,conjuntivo subjuntivo (br),tu,futuro
bata,bater,conjuntivo subjuntivo (br),ele/ela,presente
batesse,bater,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
bater,bater,conjuntivo subjuntivo (br),ele/ela,futuro
batamos,bater,conjuntivo subjuntivo (br),nós,presente
batêssemos,bater,conjuntivo subjuntivo (br),nós,pretérito imperfeito
batermos,bater,conjuntivo subjuntivo (br),nós,futuro
batais,bater,conjuntivo subjuntivo (br),vós,presente
batêsseis,bater,conjuntivo subjuntivo (br),vós,pretérito imperfeito
baterdes,bater,conjuntivo subjuntivo (br),vós,futuro
batam,bater,conjuntivo subjuntivo (br),eles/elas,presente
batessem,bater,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
baterem,bater,conjuntivo subjuntivo (br),eles/elas,futuro
bater,bater,imperativo,eu,infinitivo pessoal
bateres,bater,imperativo,tu,infinitivo pessoal
bate,bater,imperativo,tu,afirmativo
batas,bater,imperativo,tu,negativo
bater,bater,imperativo,ele/ela,infinitivo pessoal
bata,bater,imperativo,ele/ela,afirmativo
bata,bater,imperativo,ele/ela,negativo
batermos,bater,imperativo,nós,infinitivo pessoal
batamos,bater,imperativo,nós,afirmativo
batamos,bater,imperativo,nós,negativo
baterdes,bater,imperativo,vós,infinitivo pessoal
batei,bater,imperativo,vós,afirmativo
batais,bater,imperativo,vós,negativo
baterem,bater,imperativo,eles/elas,infinitivo pessoal
batam,bater,imperativo,eles/elas,afirmativo
batam,bater,imperativo,eles/elas,negativo
decidindo,decidir,gerundio,,
decidido,decidir,participio,,
decido,decidir,indicativo,eu,presente
decidi,decidir,indicativo,eu,pretérito perfeito
decidia,decidir,indicativo,eu,pretérito imperfeito
decides,decidir,indicativo,tu,presente
decidiste,decidir,indicativo,tu,pretérito perfeito
decidias,decidir,indicativo,tu,pretérito imperfeito
decide,decidir,indicativo,ele/ela,presente
decidiu,decidir,indicativo,ele/ela,pretérito perfeito
decidia,decidir,indicativo,ele/ela,pretérito imperfeito
decidimos,decidir,indicativo,nós,presente
decidimos,decidir,indicativo,nós,pretérito perfeito
decidíamos,decidir,indicativo,nós,pretérito imperfeito
decidis,decidir,indicativo,vós,presente
decidistes,decidir,indicativo,vós,pretérito perfeito
decidíeis,decidir,indicativo,vós,pretérito imperfeito
decidem,decidir,indicativo,eles/elas,presente
decidiram,decidir,indicativo,eles/elas,pretérito perfeito
decidiam,decidir,indicativo,eles/elas,pretérito imperfeito
decidira,decidir,indicativo,eu,pret. mais-que-perfeito
decidirei,decidir,indicativo,eu,futuro
decidiria,decidir,indicativo,eu,condicional
decidiras,decidir,indicativo,tu,pret. mais-que-perfeito
decidirás,decidir,indicativo,tu,futuro
decidirias,decidir,indicativo,tu,condicional
decidira,decidir,indicativo,ele/ela,pret. mais-que-perfeito
decidirá,decidir,indicativo,ele/ela,futuro
decidiria,decidir,indicativo,ele/ela,condicional
decidíramos,decidir,indicativo,nós,pret. mais-que-perfeito
decidiremos,decidir,indicativo,nós,futuro
decidiríamos,decidir,indicativo,nós,condicional
decidíreis,decidir,indicativo,vós,pret. mais-que-perfeito
decidireis,decidir,indicativo,vós,futuro
decidiríeis,decidir,indicativo,vós,condicional
decidiram,decidir,indicativo,eles/elas,pret. mais-que-perfeito
decidirão,decidir,indicativo,eles/elas,futuro
decidiriam,decidir,indicativo,eles/elas,condicional
decida,decidir,conjuntivo subjuntivo (br),eu,presente
decidisse,decidir,conjuntivo subjuntivo (br),eu,pretérito imperfeito
decidir,decidir,conjuntivo subjuntivo (br),eu,futuro
decidas,decidir,conjuntivo subjuntivo (br),tu,presente
decidisses,decidir,conjuntivo subjuntivo (br),tu,pretérito imperfeito
decidires,decidir,conjuntivo subjuntivo (br),tu,futuro
decida,decidir,conjuntivo subjuntivo (br),ele/ela,presente
decidisse,decidir,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
decidir,decidir,conjuntivo subjuntivo (br),ele/ela,futuro
decidamos,decidir,conjuntivo subjuntivo (br),nós,presente
decidíssemos,decidir,conjuntivo subjuntivo (br),nós,pretérito imperfeito
decidirmos,decidir,conjuntivo subjuntivo (br),nós,futuro
decidais,decidir,conjuntivo subjuntivo (br),vós,presente
decidísseis,decidir,conjuntivo subjuntivo (br),vós,pretérito imperfeito
decidirdes,decidir,conjuntivo subjuntivo (br),vós,futuro
decidam,decidir,conjuntivo subjuntivo (br),eles/elas,presente
decidissem,decidir,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
decidirem,decidir,conjuntivo subjuntivo (br),eles/elas,futuro
decidir,decidir,imperativo,eu,infinitivo pessoal
decidires,decidir,imperativo,tu,infinitivo pessoal
decide,decidir,imperativo,tu,afirmativo
decidas,decidir,imperativo,tu,negativo
decidir,decidir,imperativo,ele/ela,infinitivo pessoal
decida,decidir,imperativo,ele/ela,afirmativo
decida,decidir,imperativo,ele/ela,negativo
decidirmos,decidir,imperativo,nós,infinitivo pessoal
decidamos,decidir,imperativo,nós,afirmativo
decidamos,decidir,imperativo,nós,negativo
decidirdes,decidir,imperativo,vós,infinitivo pessoal
decidi,decidir,imperativo,vós,afirmativo
decidais,decidir,imperativo,vós,negativo
decidirem,decidir,imperativo,eles/elas,infinitivo pessoal
decidam,decidir,imperativo,eles/elas,afirmativo
decidam,decidir,imperativo,eles/elas,negativo
referindo,referir,gerundio,,
referido,referir,participio,,
refiro,referir,indicativo,eu,presente
referi,referir,indicativo,eu,pretérito perfeito
referia,referir,indicativo,eu,pretérito imperfeito
referes,referir,indicativo,tu,presente
referiste,referir,indicativo,tu,pretérito perfeito
referias,referir,indicativo,tu,pretérito imperfeito
refere,referir,indicativo,ele/ela,presente
referiu,referir,indicativo,ele/ela,pretérito perfeito
referia,referir,indicativo,ele/ela,pretérito imperfeito
referimos,referir,indicativo,nós,presente
referimos,referir,indicativo,nós,pretérito perfeito
referíamos,referir,indicativo,nós,pretérito imperfeito
referis,referir,indicativo,vós,presente
referistes,referir,indicativo,vós,pretérito perfeito
referíeis,referir,indicativo,vós,pretérito imperfeito
referem,referir,indicativo,eles/elas,presente
referiram,referir,indicativo,eles/elas,pretérito perfeito
referiam,referir,indicativo,eles/elas,pretérito imperfeito
referira,referir,indicativo,eu,pret. mais-que-perfeito
referirei,referir,indicativo,eu,futuro
referiria,referir,indicativo,eu,condicional
referiras,referir,indicativo,tu,pret. mais-que-perfeito
referirás,referir,indicativo,tu,futuro
referirias,referir,indicativo,tu,condicional
referira,referir,indicativo,ele/ela,pret. mais-que-perfeito
referirá,referir,indicativo,ele/ela,futuro
referiria,referir,indicativo,ele/ela,condicional
referíramos,referir,indicativo,nós,pret. mais-que-perfeito
referiremos,referir,indicativo,nós,futuro
referiríamos,referir,indicativo,nós,condicional
referíreis,referir,indicativo,vós,pret. mais-que-perfeito
referireis,referir,indicativo,vós,futuro
referiríeis,referir,indicativo,vós,condicional
referiram,referir,indicativo,eles/elas,pret. mais-que-perfeito
referirão,referir,indicativo,eles/elas,futuro
refeririam,referir,indicativo,eles/elas,condicional
refira,referir,conjuntivo subjuntivo (br),eu,presente
referisse,referir,conjuntivo subjuntivo (br),eu,pretérito imperfeito
referir,referir,conjuntivo subjuntivo (br),eu,futuro
refiras,referir,conjuntivo subjuntivo (br),tu,presente
referisses,referir,conjuntivo subjuntivo (br),tu,pretérito imperfeito
referires,referir,conjuntivo subjuntivo (br),tu,futuro
refira,referir,conjuntivo subjuntivo (br),ele/ela,presente
referisse,referir,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
referir,referir,conjuntivo subjuntivo (br),ele/ela,futuro
refiramos,referir,conjuntivo subjuntivo (br),nós,presente
referíssemos,referir,conjuntivo subjuntivo (br),nós,pretérito imperfeito
referirmos,referir,conjuntivo subjuntivo (br),nós,futuro
refirais,referir,conjuntivo subjuntivo (br),vós,presente
referísseis,referir,conjuntivo subjuntivo (br),vós,pretérito imperfeito
referirdes,referir,conjuntivo subjuntivo (br),vós,futuro
refiram,referir,conjuntivo subjuntivo (br),eles/elas,presente
referissem,referir,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
referirem,referir,conjuntivo subjuntivo (br),eles/elas,futuro
referir,referir,imperativo,eu,infinitivo pessoal
referires,referir,imperativo,tu,infinitivo pessoal
refere,referir,imperativo,tu,afirmativo
refiras,referir,imperativo,tu,negativo
referir,referir,imperativo,ele/ela,infinitivo pessoal
refira,referir,imperativo,ele/ela,afirmativo
refira,referir,imperativo,ele/ela,negativo
referirmos,referir,imperativo,nós,infinitivo pessoal
refiramos,referir,imperativo,nós,afirmativo
refiramos,referir,imperativo,nós,negativo
referirdes,referir,imperativo,vós,infinitivo pessoal
referi,referir,imperativo,vós,afirmativo
refirais,referir,imperativo,vós,negativo
referirem,referir,imperativo,eles/elas,infinitivo pessoal
refiram,referir,imperativo,eles/elas,afirmativo
refiram,referir,imperativo,eles/elas,negativo
fechando,fechar,gerundio,,
fechado,fechar,participio,,
fecho,fechar,indicativo,eu,presente
fechei,fechar,indicativo,eu,pretérito perfeito
fechava,fechar,indicativo,eu,pretérito imperfeito
fechas,fechar,indicativo,tu,presente
fechaste,fechar,indicativo,tu,pretérito perfeito
fechavas,fechar,indicativo,tu,pretérito imperfeito
fecha,fechar,indicativo,ele/ela,presente
fechou,fechar,indicativo,ele/ela,pretérito perfeito
fechava,fechar,indicativo,ele/ela,pretérito imperfeito
fechamos,fechar,indicativo,nós,presente
fechámos / fechamos,fechar,indicativo,nós,pretérito perfeito
fechávamos,fechar,indicativo,nós,pretérito imperfeito
fechais,fechar,indicativo,vós,presente
fechastes,fechar,indicativo,vós,pretérito perfeito
fecháveis,fechar,indicativo,vós,pretérito imperfeito
fecham,fechar,indicativo,eles/elas,presente
fecharam,fechar,indicativo,eles/elas,pretérito perfeito
fechavam,fechar,indicativo,eles/elas,pretérito imperfeito
fechara,fechar,indicativo,eu,pret. mais-que-perfeito
fecharei,fechar,indicativo,eu,futuro
fecharia,fechar,indicativo,eu,condicional
fecharas,fechar,indicativo,tu,pret. mais-que-perfeito
fecharás,fechar,indicativo,tu,futuro
fecharias,fechar,indicativo,tu,condicional
fechara,fechar,indicativo,ele/ela,pret. mais-que-perfeito
fechará,fechar,indicativo,ele/ela,futuro
fecharia,fechar,indicativo,ele/ela,condicional
fecháramos,fechar,indicativo,nós,pret. mais-que-perfeito
fecharemos,fechar,indicativo,nós,futuro
fecharíamos,fechar,indicativo,nós,condicional
fecháreis,fechar,indicativo,vós,pret. mais-que-perfeito
fechareis,fechar,indicativo,vós,futuro
fecharíeis,fechar,indicativo,vós,condicional
fecharam,fechar,indicativo,eles/elas,pret. mais-que-perfeito
fecharão,fechar,indicativo,eles/elas,futuro
fechariam,fechar,indicativo,eles/elas,condicional
feche,fechar,conjuntivo subjuntivo (br),eu,presente
fechasse,fechar,conjuntivo subjuntivo (br),eu,pretérito imperfeito
fechar,fechar,conjuntivo subjuntivo (br),eu,futuro
feches,fechar,conjuntivo subjuntivo (br),tu,presente
fechasses,fechar,conjuntivo subjuntivo (br),tu,pretérito imperfeito
fechares,fechar,conjuntivo subjuntivo (br),tu,futuro
feche,fechar,conjuntivo subjuntivo (br),ele/ela,presente
fechasse,fechar,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
fechar,fechar,conjuntivo subjuntivo (br),ele/ela,futuro
fechemos,fechar,conjuntivo subjuntivo (br),nós,presente
fechássemos,fechar,conjuntivo subjuntivo (br),nós,pretérito imperfeito
fecharmos,fechar,conjuntivo subjuntivo (br),nós,futuro
fecheis,fechar,conjuntivo subjuntivo (br),vós,presente
fechásseis,fechar,conjuntivo subjuntivo (br),vós,pretérito imperfeito
fechardes,fechar,conjuntivo subjuntivo (br),vós,futuro
fechem,fechar,conjuntivo subjuntivo (br),eles/elas,presente
fechassem,fechar,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
fecharem,fechar,conjuntivo subjuntivo (br),eles/elas,futuro
fechar,fechar,imperativo,eu,infinitivo pessoal
fechares,fechar,imperativo,tu,infinitivo pessoal
fecha,fechar,imperativo,tu,afirmativo
feches,fechar,imperativo,tu,negativo
fechar,fechar,imperativo,ele/ela,infinitivo pessoal
feche,fechar,imperativo,ele/ela,afirmativo
feche,fechar,imperativo,ele/ela,negativo
fecharmos,fechar,imperativo,nós,infinitivo pessoal
fechemos,fechar,imperativo,nós,afirmativo
fechemos,fechar,imperativo,nós,negativo
fechardes,fechar,imperativo,vós,infinitivo pessoal
fechai,fechar,imperativo,vós,afirmativo
fecheis,fechar,imperativo,vós,negativo
fecharem,fechar,imperativo,eles/elas,infinitivo pessoal
fechem,fechar,imperativo,eles/elas,afirmativo
fechem,fechar,imperativo,eles/elas,negativo
aumentando,aumentar,gerundio,,
aumentado,aumentar,participio,,
aumento,aumentar,indicativo,eu,presente
aumentei,aumentar,indicativo,eu,pretérito perfeito
aumentava,aumentar,indicativo,eu,pretérito imperfeito
aumentas,aumentar,indicativo,tu,presente
aumentaste,aumentar,indicativo,tu,pretérito perfeito
aumentavas,aumentar,indicativo,tu,pretérito imperfeito
aumenta,aumentar,indicativo,ele/ela,presente
aumentou,aumentar,indicativo,ele/ela,pretérito perfeito
aumentava,aumentar,indicativo,ele/ela,pretérito imperfeito
aumentamos,aumentar,indicativo,nós,presente
aumentámos / aumentamos,aumentar,indicativo,nós,pretérito perfeito
aumentávamos,aumentar,indicativo,nós,pretérito imperfeito
aumentais,aumentar,indicativo,vós,presente
aumentastes,aumentar,indicativo,vós,pretérito perfeito
aumentáveis,aumentar,indicativo,vós,pretérito imperfeito
aumentam,aumentar,indicativo,eles/elas,presente
aumentaram,aumentar,indicativo,eles/elas,pretérito perfeito
aumentavam,aumentar,indicativo,eles/elas,pretérito imperfeito
aumentara,aumentar,indicativo,eu,pret. mais-que-perfeito
aumentarei,aumentar,indicativo,eu,futuro
aumentaria,aumentar,indicativo,eu,condicional
aumentaras,aumentar,indicativo,tu,pret. mais-que-perfeito
aumentarás,aumentar,indicativo,tu,futuro
aumentarias,aumentar,indicativo,tu,condicional
aumentara,aumentar,indicativo,ele/ela,pret. mais-que-perfeito
aumentará,aumentar,indicativo,ele/ela,futuro
aumentaria,aumentar,indicativo,ele/ela,condicional
aumentáramos,aumentar,indicativo,nós,pret. mais-que-perfeito
aumentaremos,aumentar,indicativo,nós,futuro
aumentaríamos,aumentar,indicativo,nós,condicional
aumentáreis,aumentar,indicativo,vós,pret. mais-que-perfeito
aumentareis,aumentar,indicativo,vós,futuro
aumentaríeis,aumentar,indicativo,vós,condicional
aumentaram,aumentar,indicativo,eles/elas,pret. mais-que-perfeito
aumentarão,aumentar,indicativo,eles/elas,futuro
aumentariam,aumentar,indicativo,eles/elas,condicional
aumente,aumentar,conjuntivo subjuntivo (br),eu,presente
aumentasse,aumentar,conjuntivo subjuntivo (br),eu,pretérito imperfeito
aumentar,aumentar,conjuntivo subjuntivo (br),eu,futuro
aumentes,aumentar,conjuntivo subjuntivo (br),tu,presente
aumentasses,aumentar,conjuntivo subjuntivo (br),tu,pretérito imperfeito
aumentares,aumentar,conjuntivo subjuntivo (br),tu,futuro
aumente,aumentar,conjuntivo subjuntivo (br),ele/ela,presente
aumentasse,aumentar,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
aumentar,aumentar,conjuntivo subjuntivo (br),ele/ela,futuro
aumentemos,aumentar,conjuntivo subjuntivo (br),nós,presente
aumentássemos,aumentar,conjuntivo subjuntivo (br),nós,pretérito imperfeito
aumentarmos,aumentar,conjuntivo subjuntivo (br),nós,futuro
aumenteis,aumentar,conjuntivo subjuntivo (br),vós,presente
aumentásseis,aumentar,conjuntivo subjuntivo (br),vós,pretérito imperfeito
aumentardes,aumentar,conjuntivo subjuntivo (br),vós,futuro
aumentem,aumentar,conjuntivo subjuntivo (br),eles/elas,presente
aumentassem,aumentar,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
aumentarem,aumentar,conjuntivo subjuntivo (br),eles/elas,futuro
aumentar,aumentar,imperativo,eu,infinitivo pessoal
aumentares,aumentar,imperativo,tu,infinitivo pessoal
aumenta,aumentar,imperativo,tu,afirmativo
aumentes,aumentar,imperativo,tu,negativo
aumentar,aumentar,imperativo,ele/ela,infinitivo pessoal
aumente,aumentar,imperativo,ele/ela,afirmativo
aumente,aumentar,imperativo,ele/ela,negativo
aumentarmos,aumentar,imperativo,nós,infinitivo pessoal
aumentemos,aumentar,imperativo,nós,afirmativo
aumentemos,aumentar,imperativo,nós,negativo
aumentardes,aumentar,imperativo,vós,infinitivo pessoal
aumentai,aumentar,imperativo,vós,afirmativo
aumenteis,aumentar,imperativo,vós,negativo
aumentarem,aumentar,imperativo,eles/elas,infinitivo pessoal
aumentem,aumentar,imperativo,eles/elas,afirmativo
aumentem,aumentar,imperativo,eles/elas,negativo
acompanhando,acompanhar,gerundio,,
acompanhado,acompanhar,participio,,
acompanho,acompanhar,indicativo,eu,presente
acompanhei,acompanhar,indicativo,eu,pretérito perfeito
acompanhava,acompanhar,indicativo,eu,pretérito imperfeito
acompanhas,acompanhar,indicativo,tu,presente
acompanhaste,acompanhar,indicativo,tu,pretérito perfeito
acompanhavas,acompanhar,indicativo,tu,pretérito imperfeito
acompanha,acompanhar,indicativo,ele/ela,presente
acompanhou,acompanhar,indicativo,ele/ela,pretérito perfeito
acompanhava,acompanhar,indicativo,ele/ela,pretérito imperfeito
acompanhamos,acompanhar,indicativo,nós,presente
acompanhámos / acompanhamos,acompanhar,indicativo,nós,pretérito perfeito
acompanhávamos,acompanhar,indicativo,nós,pretérito imperfeito
acompanhais,acompanhar,indicativo,vós,presente
acompanhastes,acompanhar,indicativo,vós,pretérito perfeito
acompanháveis,acompanhar,indicativo,vós,pretérito imperfeito
acompanham,acompanhar,indicativo,eles/elas,presente
acompanharam,acompanhar,indicativo,eles/elas,pretérito perfeito
acompanhavam,acompanhar,indicativo,eles/elas,pretérito imperfeito
acompanhara,acompanhar,indicativo,eu,pret. mais-que-perfeito
acompanharei,acompanhar,indicativo,eu,futuro
acompanharia,acompanhar,indicativo,eu,condicional
acompanharas,acompanhar,indicativo,tu,pret. mais-que-perfeito
